음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
3855,226,스파게티_간편조리세트_쉬림프 크림파스타,4.81,17.21,13.06,1.98,16.35
3856,313,스파게티_간편조리세트_알리오올리오파스타,6.47,20.07,26.72,1.32,0
3857,128,스파게티_간편조리세트_에그인헬파스타,5.28,5.12,15.16,3.68,40.24
3858,161,스파게티_간편조리세트_오마이갓파스타,5.86,7.14,18.43,6.52,11.55
3859,233,스파게티_간편조리세트_톡톡크림 빠네 파스타,6.05,17.24,13.4,2.74,8
3860,152,스파게티_간편조리세트_트러플 크림 파스타,4.31,7.42,16.93,1.55,7.85
3861,200,스파게티_간편조리세트_할라피뇨베이컨파스타,4.62,11.59,19.29,1.8,9.2
3862,179,스파게티_간편조리세트_핫매콤크림파스타,5.07,7.7,22.24,4.19,5.23
3863,98,스파게티_간편조리세트_해장파스타,4.07,2.08,15.82,2.38,16.68
3864,235,스파게티_까르보나라소스,5.71,14.82,19.63,2.04,28.06
3866,171,스파게티_로제소스,5.21,8.99,17.34,3.33,26.26
3872,162,스파게티_오일소스,4.89,5.86,22.35,0.35,7.91
3873,209,스파게티_크림소스,5.45,12.65,18.44,2.29,31.64
3874,129,스파게티_토마토소스,4.87,3.83,18.64,3.12,9.83
3875,184,스파게티_해물_크림소스,6.08,9.96,17.39,1.67,42.18
3876,117,스파게티_해물_토마토소스,5.59,2.75,17.45,2.7,31.93
3972,53,쌀국수,2.6,0.7,9.18,0.72,5.6
4569,38,올갱이국수,0.75,0.55,7.44,1.24,0
4770,99,우동_간편조리세트_쫄우동,2.62,2.89,15.66,1.37,0
4771,63,우동_김치,1.94,0.58,12.39,0.27,1.77
4773,69,우동_삼선,4.79,0.85,10.59,0.08,62.09
4775,65,우동_중식,2.95,2.1,8.54,0.11,20.84
4795,73,울면,3.75,0.74,12.82,0.05,44.58
4797,150,월남쌈_간편조리세트_불고기월남쌈,7.22,5.81,17.1,7.71,17.07
4798,116,월남쌈_간편조리세트_소고기야채말이,10.47,5.34,6.61,5.46,27.21
4799,111,월남쌈_간편조리세트_훈제오리월남쌈,5.16,3.22,15.37,7.49,25.87
4895,115,자장면_삼선,4.81,2.59,18.08,1.45,23.79
5009,62,짬뽕_간편조리세트_나가사키 짬뽕탕,2.82,1.62,8.96,0.9,12.79
5010,56,짬뽕_간편조리세트_통오징어짬뽕탕,4.15,2.77,3.62,1.16,46.1
5011,76,짬뽕_굴,3.65,1.07,12.85,0.19,18.15
5012,63,짬뽕_백짬뽕,3.66,1.54,8.54,0.21,13.35
5013,74,짬뽕_삼선,4.4,1.2,11.3,0.12,34.72
5014,88,짬뽕_차돌박이,4.58,3.42,9.82,0.69,17.83
5246,94,칼국수_간편조리세트_닭한마리와 칼국수,7.95,2.28,10.53,1.83,25.69
5247,74,칼국수_간편조리세트_세숫대야 바지락칼국수,2.28,2.87,9.72,0.85,0
5248,78,칼국수_간편조리세트_원주식장칼국수,2.71,0.66,15.27,1.9,9.54
5249,80,칼국수_간편조리세트_장칼국수,2.51,1.12,15.06,1.89,0
5250,74,칼국수_닭고기,4.69,1.42,10.52,0.59,10.63
5251,76,칼국수_들깨,2.93,2.75,9.97,0.23,0.56
5254,70,칼국수_해물,2.53,0.51,13.77,0.42,2.97
6659,174,탄탄면_간편조리세트_마라 탄탄면,5.73,7.4,21,3.1,6.52
6753,231,팟타이_간편조리세트_비프 팟타이,7.04,12.58,22.5,9.13,4.68
